                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.4909,                 4.2043,                0.32596,                 1.5063,                 0.9856,                 1.5317,                0.92542,                0.89408,                0.94175,                0.48784,                0.91897,                0.88785,                0.92588,                0.37391,                0.91534,                0.90343,                0.92272,                0.50376,                 1.5994,                 3.2431,                0.11333,                 1.2427,                0.97757,                 1.6318,             0.00078715,             0.00078715,             0.00078715
                     46,                  1.438,                 4.0671,                0.33586,                 1.4541,                0.96319,                 1.5101,                0.90423,                0.88785,                0.93205,                0.48036,                0.90423,                0.88785,                 0.9219,                0.35671,                0.92893,                0.90343,                0.93133,                0.52462,                 1.5632,                 3.1849,                0.11009,                 1.2105,                0.93718,                 1.6085,              0.0007822,              0.0007822,              0.0007822
                     47,                 1.4177,                 4.0396,                0.30229,                 1.4517,                0.94411,                 1.4856,                0.89984,                0.89563,                0.93014,                0.48395,                0.90297,                0.89874,                 0.9351,                0.35559,                0.93209,                0.89789,                0.91379,                0.52577,                  1.582,                  3.151,                0.11137,                 1.1885,                0.92544,                 1.5972,             0.00077725,             0.00077725,             0.00077725
                     48,                  1.442,                 4.0954,                0.34413,                 1.4414,                0.95123,                 1.4955,                0.94155,                 0.9033,                0.93495,                0.41966,                0.93563,                0.89408,                0.94177,                0.39932,                0.89679,                 0.8662,                0.87098,                 0.4782,                 1.8242,                 3.0516,                0.11038,                 1.2004,                0.98201,                  1.694,              0.0007723,              0.0007723,              0.0007723
                     49,                 1.4053,                 4.0377,                0.34146,                 1.4308,                0.92255,                 1.4573,                0.92862,                0.89164,                0.93652,                0.51603,                0.93411,                0.90343,                0.93758,                0.39198,                0.91418,                0.90031,                0.91748,                0.49525,                 1.5733,                  3.112,                0.11455,                 1.1691,                0.91245,                 1.5965,             0.00076735,             0.00076735,             0.00076735
                     50,                 1.3619,                 4.0267,                0.33735,                 1.4213,                0.92563,                 1.4318,                 0.9164,                0.90343,                0.93355,                 0.5221,                0.92667,                0.91277,                0.94884,                0.42542,                0.92138,                0.90966,                0.92846,                0.52006,                 1.5061,                 2.9274,                0.11125,                 1.1671,                0.90766,                 1.5381,              0.0007624,              0.0007624,              0.0007624
                     51,                 1.3483,                 3.8747,                0.30577,                 1.3995,                0.90742,                 1.4189,                0.88749,                0.93381,                0.93899,                0.53356,                0.89622,                0.94162,                0.94349,                 0.4159,                0.91061,                0.88162,                0.90137,                0.52468,                 1.4382,                 2.9433,                0.11041,                 1.1977,                0.87468,                 1.5209,             0.00075745,             0.00075745,             0.00075745
                     52,                 1.3167,                 3.7903,                 0.3283,                 1.3628,                0.90448,                  1.421,                0.92688,                0.88474,                0.93417,                 0.4808,                0.91559,                0.91234,                 0.9379,                0.42742,                0.90559,                 0.8972,                0.91018,                0.55559,                 1.5477,                 2.8287,                0.10978,                 1.1463,                0.90897,                 1.5617,              0.0007525,              0.0007525,              0.0007525
                     53,                 1.2923,                 3.8138,                0.33211,                 1.3974,                 0.8751,                 1.3987,                0.90911,                0.93484,                0.95032,                0.54715,                0.93387,                0.92387,                0.94457,                0.44135,                 0.9241,                 0.8972,                0.90674,                0.53274,                 1.4313,                 2.8268,                0.11039,                 1.1698,                 0.8456,                 1.5257,             0.00074755,             0.00074755,             0.00074755
                     54,                 1.3355,                 3.7519,                0.33561,                 1.3393,                0.87702,                 1.4218,                0.93392,                0.92458,                0.94663,                0.53046,                0.93392,                0.92458,                0.95491,                0.42962,                 0.9157,                0.90654,                0.92207,                0.52314,                 1.5022,                 2.8719,                 0.1111,                 1.1453,                0.85331,                 1.5117,              0.0007426,              0.0007426,              0.0007426
